VENITURI TOTALE;Casa si conturi la banci;CHELTUIELI TOTALE;Pierdere neta;DATORII;Cifra de afaceri neta;Numar mediu de salariati;ACTIVE IMOBILIZATE - TOTAL;VENITURI IN AVANS;Profitul net;Pierdere bruta;Profitul brut;CHELTUIELI IN AVANS;ACTIVE CIRCULANTE - TOTAL din care:;CUI;CAEN;DENUMIRE;COD_INMATRICULARE
38620571;8575149;37595100;0;17221863;37074964;92;105974077;37562467;982883;0;1025471;85927;12452899;6505878;9311;MEDUSA HOTEL INTERNATIONAL SRL;J40/21129/1994
1780639;366241;1777313;0;2203294;1383533;33;3000155;0;3326;0;3326;27790;515175;6255127;9311;ALEX COM 94 BUCURESTI SRL;J40/18028/1994
3438176;470030;3377451;0;1478734;3428090;31;3113190;0;51009;0;60725;0;489073;6255127;9311;ALEX COM 94 BUCURESTI SRL;J40/18028/1994
3156577;456236;2983446;0;1965306;3052174;28;3196290;0;173131;0;173131;0;547745;6255127;9311;ALEX COM 94 BUCURESTI SRL;J40/18028/1994
2981149;237327;2645951;0;1563673;2637712;31;2821838;0;335198;0;335198;0;347434;6255127;9311;ALEX COM 94 BUCURESTI SRL;J40/18028/1994
3911705;129007;3614236;0;5941035;3410693;37;3971183;512774;260861;0;297469;0;2253281;9013195;9311;DAIMON INTERMED 96 SRL;J40/8583/1996
7730309;481007;5419434;0;4670480;7725473;27;3353588;512774;1950052;0;2310875;0;3811917;9013195;9311;DAIMON INTERMED 96 SRL;J40/8583/1996
6436468;203964;5666651;0;5561439;6411401;30;3583217;512774;641325;0;769817;0;3164520;9013195;9311;DAIMON INTERMED 96 SRL;J40/8583/1996
5284257;269112;4694860;0;4763401;5090846;27;4020636;671126;519834;0;589397;0;1704380;9013195;9311;DAIMON INTERMED 96 SRL;J40/8583/1996
138506;58858;135352;0;4667;119824;1;34015;29884;2539;0;3154;0;59135;41024120;9329;CRISAL ACTIVITY S.R.L.;J6/752/2019
75741;65173;64047;0;4086;47021;1;52896;48567;11694;0;11694;0;65817;41024120;9329;CRISAL ACTIVITY S.R.L.;J6/752/2019
0;438;20356;20356;219866;0;1;131600;0;0;20356;0;0;438;37955023;9313;FITNESS & MUCH MORE SRL-D;J12/4785/2017
100;420;11684;11584;219866;100;0;80496;0;0;11584;0;0;539;37955023;9313;FITNESS & MUCH MORE SRL-D;J12/4785/2017
0;437;20620;20620;219866;0;0;92181;0;0;20620;0;0;437;37955023;9313;FITNESS & MUCH MORE SRL-D;J12/4785/2017
0;438;18800;18800;219866;0;0;112800;0;0;18800;0;0;438;37955023;9313;FITNESS & MUCH MORE SRL-D;J12/4785/2017
69606;27250;96426;27124;212847;33822;2;247886;108189;0;26820;0;1579;27250;40763389;9329;PURE SOUND ENTERTAINMENT S.R.L.;J29/1233/2019
229033;16681;152450;0;118089;184000;5;207590;190488;74743;0;76583;0;175930;40180768;9313;BENEFIC ASPECT S.R.L.;J24/1908/2018
104946;26116;106810;1875;42375;1050;3;13140;0;0;1864;0;0;26116;41961333;9329;JOCUL LA EL ACASĂ S.R.L.;J1/1812/2019
18790;11762;29849;11174;34668;9452;1;7176;0;0;11059;0;0;13199;41961333;9329;JOCUL LA EL ACASĂ S.R.L.;J1/1812/2019
